#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ResourceId","InDesiredState"
"[AccountPolicy]1.1.5 - (L1) Ensure Password must meet complexity requirements is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AccountPolicy]1.1.6 - (L1) Ensure Store passwords using reversible encryption is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.1 - (L1) Ensure Access Credential Manager as a trusted caller is set to No One::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.4 - (L1) Ensure Act as part of the operating system is set to No One::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.6 - (L1) Ensure Adjust memory quotas for a process is set to Administrators LOCAL SERVICE NETWORK SERVICE::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.9 - (L1) Ensure Allow log on through Remote Desktop Services is set to Administrators Remote Desktop Users (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.11 - (L1) Ensure Change the system time is set to Administrators LOCAL SERVICE::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.12 - (L1) Ensure Change the time zone is set to Administrators LOCAL SERVICE::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.13 - (L1) Ensure Create a pagefile is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.14 - (L1) Ensure Create a token object is set to No One::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.15 - (L1) Ensure Create global objects is set to Administrators LOCAL SERVICE NETWORK SERVICE SERVICE::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.16 - (L1) Ensure Create permanent shared objects is set to No One::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
